candidate_id,registry_class,construct_name,donor_species,sequence_id,sequence_accessions,reference_sequence_ids,sequence_status,sequence_readiness,sequence_unresolved_reason,target_tissue,target_tissue_basis,mechanism,evidence_tier,registered_expression_class,primary_parameter_id,h3_endpoint,h3_unit,h3_scale,h3_direction,h3_margin,h3_min_probability,gates,principal_failure_mode,prequalification_requirement,evidence_ids,evidence_label,program_status
"C1","primary","PyKPA1","Pyropia yezoensis (Neopyropia yezoensis)","AJ972674.1","AJ972674.1|CAI99405.1","AJ972674.1|CAI99405.1","accession_verified","accession_verified_final_construct_unverified","NCBI nucleotide AJ972674.1 and protein CAI99405.1 identities are verified; source allele, topology, transport stoichiometry, and final plasmid still require independent verification","root epidermis/exodermis/cortex","program_assumption","P-type K+ ATPase and putative animal-type Na+/K+-ATPase; transport coupling remains unverified","E2","Salt-inducible root epidermis/exodermis/cortex; constitutive 35S only as a comparator","na_efflux_vmax_multiplier","root_surface_outward_na_flux_per_root_dry_mass","umol Na g_root_dry_mass^-1 h^-1","log_ratio","ge","0.1823215567939546","0.9","directional_assay=required|sequence_build=required","ATP burden, disturbed K homeostasis, or sodium returned to recirculating water remain disqualifying risks.","Primary module; Stage A identity, localization, energetic, flux, and ion-balance gates remain mandatory","EV_PYKPA1_2013|EV_CROP_NA_TRANSPORT_REVIEW_2020","hypothesis_prior","primary_tournament_hypothesis"
"C2","primary","PyAPX","Pyropia yezoensis","AY282755.1","AY282755.1","AY282755.1","accession_verified","accession_verified_construct_map_unresolved","The paper reports AY282755.1 and the NCBI record identity is independently verified; exact targeting, construct map, and event-to-construct mapping remain unresolved","prospective root-preferred cortex/vascular parenchyma class; exact construct targeting unresolved","program_assumption","Ascorbate peroxidase and ROS clearance; not a direct salt-exclusion mechanism","E2","Prospective salt-inducible root-preferred cortex/vascular parenchyma class; exact construct targeting unresolved","ros_clearance_multiplier","root_h2o2_concentration_time_auc","umol H2O2 g_root_fresh_mass^-1 h","log_ratio","le","-0.2231435513142097","0.9","directional_assay=required|sequence_build=blocked","AY282755.1 verifies a public record, not the exact targeting, construct, or event map; ROS improvement alone cannot establish salt exclusion, biomass benefit, or safe ion fate.","Define and validate the exact targeting sequence, construct map, and event-to-construct mapping before any sequence-build work","EV_PYAPX_2026","hypothesis_prior","primary_tournament_hypothesis"
"C3","primary","EsM1PDH1+EsM1Pase2","Ectocarpus sp. Ec32","Esi0017_0062|Esi0100_0020","Esi0017_0062|Esi0100_0020","GCA_000310025.1","crosswalk_pending","crosswalk_required","Frozen legacy identifiers are present, but each must be sequence-mapped to the current Ectocarpus annotation; Esi0020_0181 must not be conflated with Esi0100_0020","root cortex","program_assumption","Two-step fructose-6-phosphate to mannitol module","E2","Balanced bicistronic or two-cassette salt-inducible root cortex expression","mannitol_vmax_multiplier","root_mannitol_concentration_above_empty_vector","nmol g_root_fresh_mass^-1","difference","ge","10","0.9","directional_assay=required|sequence_build=required","Carbon diversion, mannitol-1-phosphate accumulation, or insufficient mannitol for osmotic benefit remain disqualifying risks.","Complete the legacy-identifier sequence crosswalk and verify both proteins plus carbon balance","EV_ECTOCARPUS_MANNITOL_2020|EV_CROP_NA_TRANSPORT_REVIEW_2020","hypothesis_prior","primary_tournament_hypothesis"
"C4","primary","SbSOS1","Salicornia brachiata Roxb.","EU879059.1","EU879059.1|ACJ63441.1","EU879059.1|ACJ63441.1","accession_verified","accession_verified_final_construct_unverified","NCBI nucleotide EU879059.1 and protein ACJ63441.1 identities are verified; target-chassis topology, localization, energetic burden, and final plasmid require verification","root epidermis/exodermis/cortex with explicit exclusion from stele/xylem parenchyma","program_assumption","Plasma-membrane Na+/H+ antiporter with a source-reported xylem-loading risk","E2","Salt-inducible epidermis/exodermis/cortex with explicit exclusion from stele/xylem parenchyma","na_efflux_vmax_multiplier","root_surface_outward_na_flux_per_root_dry_mass","umol Na g_root_dry_mass^-1 h^-1","log_ratio","ge","0.1823215567939546","0.9","cortex_localization=required|directional_assay=required|sequence_build=required","The source tobacco study reported elevated stem and xylem-sap Na; C4 is a conditional risk-bearing candidate requiring cortex-facing rather than xylem-facing expression.","Cortex-facing Stage A localization must pass before the efficacy tournament; no outcome-driven promoter substitution","EV_SBSOS1_2012|EV_CROP_NA_TRANSPORT_REVIEW_2020","hypothesis_prior","primary_tournament_hypothesis"
"C5","primary","PpHKT1","Prunus persica 'Nemaguard'","Prupe.1G067100","Prupe.1G067100","XM_020565174.1|XP_020420763.1|XM_020564808.1|XP_020420397.1","verified","reference_locus_not_experimental_clone","Frozen peach reference locus is resolved; exact Nemaguard amplicon/promoter and haplotype are not publicly accessioned and two Lovell RefSeq isoforms differ","mature-root stele/xylem parenchyma","program_assumption","HKT1-class xylem sodium retrieval","E1","Native promoter or modest CRISPRa in mature-root stele/xylem parenchyma","xylem_na_retrieval_multiplier","xylem_sap_na_concentration_time_auc","mmol Na L^-1 h","log_ratio","le","-0.2231435513142097","0.9","directional_assay=required|sequence_build=required","Excess root-stele sodium retention or K disruption remain disqualifying risks.","Sequence the Nemaguard allele and promoter; verify xylem/root/leaf Na/K, root viability, selectivity, and hydraulic conductance","EV_PPHKT1_2019|EV_ROOTSTOCK_SCREEN_2020|EV_ROOTPAC40_TRANSCRIPTOME_2022","hypothesis_prior","primary_tournament_hypothesis"
"C6","primary","PpSOS2_PpCIPK24","Prunus persica 'Nemaguard'","Prupe.7G244500.1","Prupe.7G244500.1|XP_020424233.1","XM_020568644.1|XP_020424233.1|XM_007201987.2|XP_007202049.1","verified","reference_locus_not_experimental_clone","Frozen locus and protein identity are resolved; Nemaguard allele, PpSOS2/PpCIPK24 synonymy, CBL partners, and final construct require verification","root regulatory tissues with compatible SOS complex","program_assumption","SOS-pathway CBL-interacting protein kinase","E1","Native promoter or modest salt-responsive root regulatory tuning","sos_efflux_activation_multiplier","root_surface_outward_na_flux_per_root_dry_mass","umol Na g_root_dry_mass^-1 h^-1","log_ratio","ge","0.1823215567939546","0.9","directional_assay=required|sequence_build=required","Pleiotropy through other CIPK targets or failure without compatible CBL/SOS1 activation remain disqualifying risks.","Verify kinase activity, PpSOS1 phosphorylation, PpCBL4/CBL10 interaction, Na efflux, K/Ca signaling, and root architecture","EV_PPSOS2_2022|EV_PRUNUS_SOS_MAP_2024","hypothesis_prior","primary_tournament_hypothesis"
"PQ_PYMNSOD","prequalification","PyMnSOD","Pyropia yezoensis","DQ146477.2","DQ146477.2","DQ146477.2","accession_verified","accession_verified_construct_map_unresolved","The paper reports DQ146477.2 and the complete-CDS NCBI record identity is independently verified; exact mitochondrial targeting, construct map, and event-to-construct mapping remain unresolved","mitochondria if targeting is verified","program_assumption","Manganese superoxide dismutase and oxidative-stress protection","E5/E3","not_registered_pending_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","The accession record is verified but is not construct-ready; targeting, event mapping, and comparative oxidative-stress mechanism remain unresolved","Preserve and verify mitochondrial targeting and the exact construct; measure MnSOD isozyme activity, superoxide/H2O2, and respiration","EV_PYAPX_2026","hypothesis_prior","held_for_prequalification"
"PQ_KANAH","prequalification","KaNa+/H+","Kappaphycus alvarezii","MT473962.1","MT473962.1","MT473962.1","accession_verified_partial_cds","partial_accession_construct_map_unresolved","The paper reports unversioned MT473962 and calls the cloned material a full-length coding sequence; NCBI resolves MT473962.1 as a partial CDS. This identity/completeness conflict, exact construct map, event mapping, symbol, topology, localization, transport direction, and selectivity remain unresolved","unresolved pending localization and direction audit","unresolved","Author-labeled Na+/H+ antiporter","E3","not_registered_pending_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","The paper-versus-repository identity/completeness conflict is unresolved and the partial-CDS record is not construct-ready; topology, localization, direction, selectivity, exact construct, and event mapping remain unresolved","Resolve the paper-versus-repository completeness conflict and exact construct sequence; audit topology/localization and demonstrate direction and selectivity in an orthogonal assay","EV_KANAH_2022|EV_PYAPX_2026","hypothesis_prior","held_for_prequalification"
"PQ_ESI0017_0056","prequalification","Esi0017_0056","Ectocarpus sp. Ec32","Esi0017_0056","Esi0017_0056","GCA_000310025.1","reference_locus_only","crosswalk_and_mechanism_required","Legacy Esi locus identifier requires sequence crosswalk and the encoded protein function remains unknown","root-preferred if promoted","program_assumption","Unknown-function stress-responsive protein","E3","Root-preferred inducible expression only after localization and mechanism work","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","Stable Arabidopsis phenotype but unknown function, localization, interaction partners, and dose-response mechanism","Complete localization, interactome/proteomics, dose-response transcriptomics, and ion/carbon balance","EV_ECTOCARPUS_ESI0056_2021","hypothesis_prior","held_for_prequalification"
"PQ_PPSOS1","prequalification","PpSOS1_PpNHX7","Prunus persica","Prupe.1G339200.1","Prupe.1G339200.1","not_applicable","reference_locus_only","functional_direction_unresolved","Reference locus is identified, but experimental allele, directional flux, phosphorylation response, and construct sequence are not verified","root epidermis/exodermis versus xylem-facing location unresolved","program_assumption","SOS1-family plasma-membrane Na+/H+ exchanger","E4","not_registered_pending_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","Interaction evidence without efficacy or resolved rhizosphere-efflux versus xylem-loading direction","Demonstrate phosphorylation, localization, directional Na flux, and distinguish rhizosphere efflux from xylem loading","EV_PRUNUS_SOS_MAP_2024","hypothesis_prior","held_for_prequalification"
